h3,aeroway,amenity,building,building.area,building.area.average,building.area.ratio,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_6,e_7,e_8,e_9,healthcare,highway,highway.area,highway.area.ratio,historic,leisure,office,parking.area,parking.area.average,parking.area.ratio,public_transport,railway,route,shop,sport,tourism,water,waterway,actual_mean,actual_std,pred_mean,pred_std,wasserstein_distance
892a306550bffff,0.0,-0.3333333333333333,-0.45263157894736844,-0.7859205,-0.1448646210373819,-0.7848403446845288,0.14793292,-0.42095354,1.2773732,0.57674015,-0.38912016,0.2985164,0.45981938,0.7634734,1.7524157,-0.4705603,0.57173395,0.5109718,-1.0734462,0.40499914,0.8755663,0.009905224,0.5735835,-0.8779951,0.46711913,0.2381323,-0.02047966,1.423472,0.124289,-0.31051937,-0.500937,0.31003404,-0.3085682,0.16768587,-0.59757847,0.04703438,0.22345412,0.2549825,0.34739473,2.0588884,0.6161643,0.1724543,-0.5086425,0.51773167,0.12473661,-0.02740009,-0.39868388,0.03610496,0.283126,-0.94793504,-0.0604595,-0.74423665,0.9534903,-0.76636416,0.11425687,0.042622734,0.0,-0.36363636363636365,0.3262116,0.32073353885128936,0.0,-0.3333333333333333,0.0,0.0,0.0,0.0,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.54444444444442,103.64043255052181,113.24011761942594,0.18971199187000318,82.40775679705501
892a3064507ffff,0.0,0.16666666666666666,-0.23157894736842105,-0.4501232,0.04340207198981914,-0.4488354177043875,0.5951983,-0.5756487,0.35248816,0.027785694,0.10187551,0.6280851,-0.63751286,0.9563537,-0.03754018,0.5957515,0.8540823,-0.7101557,-1.3275695,0.10492793,-1.266915,0.5161979,0.43850842,-0.25091562,0.0007849181,-0.23742308,0.7599035,-1.4944371,0.11483735,-0.3367633,0.17538704,-0.2381062,0.0014344914,0.12131493,-0.31962147,-0.79124737,0.2502316,-1.7895813,0.698993,0.5654337,0.39788604,0.27045482,-0.32968152,0.15154004,0.15417951,-0.45727238,0.29131684,0.81787115,-0.13874802,-0.20532393,0.44379082,-0.9814672,0.6657104,0.35224748,0.87951386,0.846036,0.0,0.0,0.10705724,0.10437136786219864,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,174.24806201550388,98.23370575243824,113.23656254814334,0.19133886819642185,80.8616771647618
892a3064adbffff,0.0,3.1666666666666665,-0.5684210526315789,-0.7609591,0.12749258927856827,-0.7582632253465669,0.37776265,-0.7507256,0.6606462,0.019597251,0.7061906,0.46311903,0.15592627,-0.743851,2.1366258,-0.46924403,2.2559395,0.23709846,-0.8380079,2.1152985,0.563309,-0.0740912,1.0197152,0.8035287,1.5180262,1.5937557,-0.92288685,1.2138304,-0.6250509,-0.59913844,-1.1246452,0.72070533,-0.9838544,0.8074929,-1.606112,0.30903047,0.5693043,-0.8691365,-1.6872619,1.411557,0.84404814,0.9391782,-1.6520908,-0.44747636,-0.9090313,0.6954256,-0.7705025,0.48322544,0.27944288,-0.9966294,0.9848288,-1.1035336,0.5439839,-1.7374448,0.49939412,0.53102535,0.0,2.6136363636363638,-0.10817554,-0.108013577776861,0.0,-0.3333333333333333,0.0,0.6032673,0.1003905254364336,0.6034208754096653,1.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,148.3144927536232,101.97432367273056,113.23785974525711,0.19204924575249568,80.62252314345315
892a3066b9bffff,0.0,0.6666666666666666,-0.24210526315789474,0.5454772,1.6345630056482583,0.5465857799816491,-0.05879629,0.05078705,-0.73439234,-0.437663,1.1555628,1.9332664,-0.37169108,0.7617879,-0.39394903,-0.10574941,-0.5415092,-1.4188236,-0.20899136,-0.34028706,-1.0630957,-0.18672107,0.26297668,-0.024548873,-0.46037033,-0.34438267,0.24471492,-1.486508,-0.28235853,0.8818539,0.25033516,0.2228269,0.27002877,-0.022117725,0.11282115,-0.6110772,0.0031688502,-0.59817296,0.62859523,-0.30051786,0.2582177,0.5558525,-0.187357,-0.2546746,-0.082518235,-0.44887796,-0.20371199,0.50366026,-0.2557237,0.35336128,0.5717806,-1.1004288,-0.4167049,0.28982157,0.9095895,-0.30336776,0.0,0.36363636363636365,0.5549272,0.5534375943862899,0.0,-0.3333333333333333,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,146.8,120.5568824446033,113.23669904607665,0.1898296548042193,80.59764464754902
892a3066e87ffff,0.0,0.16666666666666666,0.4,1.1828766,1.1459258768874494,1.1814379550395295,0.42309785,0.26059312,-0.30084294,0.027627366,0.95671755,1.0102767,-0.12339931,-0.3048216,-0.77925193,-0.2206506,1.0569746,-0.81779003,0.7378248,-0.23855448,-0.055084366,1.388354,-0.066829406,1.1792991,0.3617763,-0.86516905,-0.21892202,-0.6271576,0.04942194,0.0042573526,0.43616217,1.0019976,0.0071509276,-1.2767493,-0.3908387,-0.26828158,-0.3436431,-0.8365133,-0.6824647,0.09091549,-0.3315547,0.623676,0.34915185,0.4189347,0.34273443,0.7016916,-0.05030981,-0.33940956,-0.40690935,0.44290245,-0.019567912,0.16360478,-0.99341094,-1.025526,-0.52362293,1.0127326,0.0,0.09090909090909091,1.5587602,1.5523653329164497,0.0,0.0,0.0,2.6287422,8.311598298701735,2.627738422765533,-0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,174.396,85.63702227424773,113.24088636803934,0.19022175048527926,79.51401124466484
892a3066323ffff,0.0,1.3333333333333333,1.9473684210526316,0.694298,-0.7302488615729413,0.6931231564412776,-2.0519874,-0.5426599,-0.25929996,-0.18756287,-2.2591097,0.24855688,0.95933324,2.0494108,-1.8832659,-0.6244661,0.003456777,0.8511439,0.7577967,0.080528334,-1.2120513,-0.4874726,-0.7075769,1.9646293,1.0157723,-1.0456138,-0.37677756,-0.25052342,0.27812183,1.6922982,-1.2480583,-1.3568367,-0.6318149,1.6844147,0.52872026,1.8335463,1.4310755,2.1484473,-0.391832,-0.66306865,0.55266744,-0.32967806,0.77127737,-1.4254397,1.6706549,-1.2246677,0.6255828,-0.569214,0.032842584,-2.018912,-0.27158892,1.17675,-0.5287917,1.0210389,-0.8630315,-1.1747196,0.0,4.045454545454546,1.1294789,1.1232383450403274,0.0,1.6666666666666667,0.0,1.0426931,3.296803301889031,1.042096149135108,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,126.6529411764706,112.61769330034538,113.23797660189285,0.19360051636077863,79.21470913682859
892a3064e73ffff,0.0,-0.16666666666666666,0.8315789473684211,-0.103528075,-0.6915903384943093,-0.1016414574862501,-0.5658274,-0.08077022,0.4226828,0.27764666,-0.73474526,0.32852116,1.0054334,0.60628414,-0.45756283,-0.3057958,0.023545064,0.21001542,0.1800906,0.99471945,-0.5882416,-0.109275036,-0.9389103,0.80367464,1.2446771,-0.6999498,-0.7050386,-0.21516287,0.5254487,0.42278293,-0.89943355,-0.19876379,-0.39989433,0.6270651,-0.4301645,1.1058095,1.16037,0.8617115,-0.93456584,0.7176102,0.28101176,0.5474361,-0.3155122,-0.67248935,0.47827402,-0.38889417,-0.010386671,0.7271553,0.0017065323,-2.01967,-0.6307967,0.7770817,-0.7792091,0.11245461,-0.019020481,-0.33516595,0.0,0.4772727272727273,0.3197759,0.31885961583570205,0.0,-0.3333333333333333,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.8689655172414,106.08128504529381,113.2398405692259,0.18957734796584907,78.96691244485388
892a306485bffff,0.0,-0.3333333333333333,0.21052631578947367,-0.53488505,-0.6364751580430776,-0.5321916962973212,0.49827006,-0.3351631,0.48259586,0.27709648,0.46072093,0.22990412,-0.18668266,-0.06176986,0.6737712,-0.94684297,0.21579508,-1.0156225,-0.108749025,1.0054111,0.4432568,0.27290517,-0.6909607,0.23253429,0.73668575,-0.72965187,0.3314642,0.19809563,0.16705237,-0.18997361,-0.44829422,1.2818178,-0.3980691,-0.92900586,-0.4081962,0.3840084,0.42969468,0.17828979,-0.05682718,0.7151544,0.13908954,-0.10341361,1.2169185,0.6824358,-0.025461806,0.22915798,0.18769702,-0.44544262,0.3621921,0.0064790123,0.14005448,-0.11562961,-0.3523221,-1.3983036,-0.15995963,0.432175,0.0,-0.3409090909090909,-0.35759708,-0.35648576628865564,0.0,-0.3333333333333333,0.0,0.0,0.0,0.0,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.82222222222221,104.01093009990302,113.23953627752108,0.18962399567839316,78.8147963503269
892a30663abffff,0.0,16.666666666666668,0.0,2.1926093,3.3491556720718525,2.188296882206723,0.770831,0.55546486,-0.7177307,-0.7513668,0.32589805,0.5818371,-1.9515196,-3.8536408,-0.3110095,0.17412212,-0.2989455,0.43548033,-1.392251,-0.02579685,0.5444149,-2.5040524,-0.021288922,-2.7364736,-0.3964877,2.3176804,0.9542055,-0.3716527,-2.6844797,1.8558036,-0.51112837,0.4360656,-0.16263136,0.2142856,1.6822017,0.6341268,-0.989402,-1.8323897,0.26074967,-1.1123352,0.85977376,-0.8794426,-0.55035514,-1.1818081,-2.6662147,0.5211924,-0.027161114,-0.99015665,-1.2232206,0.2769947,1.1600951,-2.3397338,-1.7688675,0.12023057,-1.4283895,-1.9848113,0.0,5.9772727272727275,1.7956518,1.7871344147277168,2.0,1.6666666666666667,3.0,10.087218,0.9664824990011927,10.0806059270214,4.25,35.0,0.0,11.0,0.0,7.0,0.0,0.0,145.55692307692308,106.68883867689652,113.2376495396413,0.1929932741736641,78.26685935153998
892a3066c53ffff,0.0,0.5,0.42105263157894735,1.1979802,1.127989185675233,1.1964404880218074,-0.34930974,0.352891,-0.079539366,-0.81793123,0.67386127,-1.0965928,-1.0741438,-0.8592047,0.37740076,-0.31305048,-1.7738624,-0.34174627,1.588802,0.6271905,1.3649611,0.9068732,-0.59818286,1.2466495,-0.982654,0.16581249,0.8848714,0.43750498,0.50035274,0.052560344,0.23537685,0.42363635,0.35091925,-0.18372199,0.6679887,-0.23192394,0.8469901,-0.044277366,0.028724933,-1.0918504,-0.98746836,0.09654382,0.36879736,-0.033475466,-0.20050713,0.63036865,-0.086817876,-0.45477864,1.8987913,2.4814425,-0.70506626,0.74236876,0.717771,0.45523968,1.3440335,0.24380091,0.0,0.1590909090909091,-0.34701154,-0.348652760134273,0.0,-0.3333333333333333,0.0,0.7149611,2.2605752315522016,0.7146720169679125,-0.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,138.10444444444443,108.08125534996663,113.23829111558238,0.19150719110874798,77.80441252010053
